user_no,product_id,product_name,brand,topcat_name,category_name,price,base_image_url,score_0_100,rank
27,monitor:msi-md271ul-4k-ips-아이에르고-pd65-무결점,MSI MD271UL 4K IPS 아이에르고 PD65 무결점,MSI,Monitor,Monitor,231210.0,https://img.danawa.com/prod_img/500000/583/074/img/32074583_1.jpg?shrink=330:*&_v=20240809112234,100.0,1
27,monitor:asus-rog-strix-xg27ameg-g-하츠네-미쿠-에디션,ASUS ROG STRIX XG27AMEG-G 하츠네 미쿠 에디션,ASUS,Monitor,Monitor,549000.0,https://img.danawa.com/prod_img/500000/745/629/img/101629745_1.jpg?shrink=330:*&_v=20251203112835,92.50464630126953,2
27,laptop:asus-rog-strix-g16-g615lw-s5027-64gb램,ASUS ROG STRIX G16 G615LW-S5027 64GB램,ASUS,Laptop,Laptop,4216080.0,https://img.danawa.com/prod_img/500000/579/533/img/78533579_1.jpg?shrink=330:*&_v=20251111141931,86.4702377319336,3
27,headset:앱코-n500-가상-7-1-enc-초경량-rgb-게이밍-헤드셋,앱코 N500 가상 7.1 ENC 초경량 RGB 게이밍 헤드셋,앱코,Headset,Headset,27500.0,https://img.danawa.com/prod_img/500000/765/522/img/14522765_1.jpg?shrink=330:*&_v=20230518165819,67.07746887207031,4
27,headset:잘만-archer-zm-hps700w,잘만 ARCHER ZM-HPS700W,잘만,Headset,Headset,33470.0,https://img.danawa.com/prod_img/500000/535/519/img/16519535_1.jpg?shrink=330:*&_v=20220427152251,63.211029052734375,5
27,headset:msi-gh50-무선-게이밍-헤드셋,MSI GH50 무선 게이밍 헤드셋,MSI,Headset,Headset,113240.0,https://img.danawa.com/prod_img/500000/605/369/img/33369605_1.jpg?shrink=330:*&_v=20240123174231,61.371124267578125,6
27,headset:cox-ch48-애비에이션-가상-7-1-enc-rgb-진동-게이밍-헤드셋,COX CH48 애비에이션 가상 7.1 ENC RGB 진동 게이밍 헤드셋,COX,Headset,Headset,38900.0,https://img.danawa.com/prod_img/500000/348/602/img/18602348_1.jpg?shrink=330:*&_v=20221227152757,60.29467010498047,7
27,laptop:msi-모던시리즈-모던-14-f1mg-c5-win11,MSI 모던시리즈 모던 14 F1MG-C5 WIN11,MSI,Laptop,Laptop,717510.0,https://img.danawa.com/prod_img/500000/376/500/img/71500376_1.jpg?shrink=330:*&_v=20250408124715,53.32743453979492,8
27,laptop:lg전자-그램-프로360-16t90sp-kd7bk,LG전자 그램 프로360 16T90SP-KD7BK,LG전자,Laptop,Laptop,2477960.0,https://img.danawa.com/prod_img/500000/258/535/img/43535258_1.jpg?shrink=330:*&_v=20250408164450,52.3300895690918,9
27,laptop:asus-expertbook-p1-p1503cva-s70532-win11-16gb램,ASUS ExpertBook P1 P1503CVA-S70532 WIN11 16GB램,ASUS,Laptop,Laptop,607300.0,https://img.danawa.com/prod_img/500000/042/378/img/77378042_1.jpg?shrink=330:*&_v=20251204111314,51.46768569946289,10
27,monitor:한성컴퓨터-tfg27q24p2-qhd-fast-ips-240-게이밍-무결점,한성컴퓨터 TFG27Q24P2 QHD Fast IPS 240 게이밍 무결점,한성컴퓨터,Monitor,Monitor,259000.0,https://img.danawa.com/prod_img/500000/830/702/img/90702830_1.jpg?shrink=330:*&_v=20251030141324,49.28575897216797,11
27,monitor:삼성전자-오디세이-oled-g6-s27dg610,삼성전자 오디세이 OLED G6 S27DG610,삼성전자,Monitor,Monitor,858000.0,https://img.danawa.com/prod_img/500000/525/438/img/68438525_1.jpg?shrink=330:*&_v=20251022102629,49.141849517822266,12
